bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement
3,1,1090,10296,1,0,0,4,1090,0
3,2.25,1830,7943,2,0,0,3,1830,0
4,2.5,2000,5684,2,0,0,3,2000,0
3,2.5,2340,5957,2,0,0,3,2340,0
4,4.75,3700,11000,1,0,0,4,1840,1860
3,2.25,1510,9600,1,0,0,1,1090,420
3,2.25,3010,9600,2,0,0,3,2410,600
2,1,1140,23030,1,0,0,3,1140,0
3,1.5,1590,8911,1,0,0,3,1590,0
3,1.75,1460,7980,1,0,0,3,1460,0
3,2.5,2600,4506,2,0,0,3,2600,0
4,2.75,2950,5803,2,0,0,3,2950,0
3,1,1070,9497,1,0,0,3,1070,0
6,3.25,3870,24700,2,0,0,3,2520,1350
4,2.5,2010,6294,2,0,0,3,2010,0
2,2.25,1640,2128,2,0,0,4,1640,0
3,2.25,1420,6600,1,0,0,3,1160,260
3,2.25,2160,9540,2,0,0,3,2160,0
3,1.75,2300,12682,1,0,2,3,2300,0
3,2.25,1400,11400,2,0,0,3,1400,0
4,2.5,2800,17279,1,0,2,3,1560,1240
2,2.5,1340,5995,2,0,0,3,1340,0
3,1.5,1440,9711,1,0,0,3,1140,300
4,1.75,1970,10358,1,0,0,3,1540,430
4,2,1670,12056,1,0,0,3,1670,0
3,1,1610,11250,1,0,0,3,1090,520
3,1,1720,9605,1,0,0,3,860,860
4,1.75,2340,17541,1,0,0,4,1360,980
3,1.5,1860,9003,1,0,0,3,1490,370
3,2.5,1830,8133,1,0,0,3,1390,440
3,2.25,2010,7447,2,0,0,3,2010,0
3,1.75,2250,11520,1,0,1,3,2250,0
2,1,1280,5728,1.5,0,0,5,1280,0
4,2.5,3290,11446,2,0,0,3,3290,0
3,1.75,1560,8456,1,0,0,5,1560,0
3,2.25,1840,9929,1,0,0,3,1200,640
3,2.5,2630,10131,2,0,0,3,2630,0
4,2.25,2380,17199,2,0,0,3,1530,850
3,2.5,2830,5788,2,0,0,3,2830,0
4,1.75,1970,12409,1,0,0,4,1220,750
4,2.25,3230,9935,2,0,0,3,3230,0
3,1.75,1160,22470,1,0,0,4,1160,0
4,2,2510,9750,1,0,0,3,1630,880
4,1.75,1770,12875,1,0,0,3,1770,0
4,2.75,1680,9545,1,0,0,4,1080,600
4,3,2600,29539,1,0,0,3,2600,0
3,2.25,2520,26943,1,0,0,3,1760,760
3,1.75,1510,9720,1,0,0,3,1510,0
5,2.75,4400,18500,1,0,3,5,2250,2150
3,2.5,2678,6607,2,0,0,3,2678,0
3,1,1190,9000,1,0,0,3,1190,0
3,1,1290,10125,1,0,0,4,1290,0
3,2.25,3370,23065,1,1,4,3,1920,1450
4,2.5,2807,9430,2,0,0,3,2807,0
3,2.5,1300,10484,2,0,0,3,1300,0
3,1,1570,10050,1,0,0,3,1570,0
4,2.5,2360,15008,1,0,0,3,1920,440
3,2.25,1960,44634,1,0,0,3,1130,830
4,1.75,1830,11090,1,0,0,3,1060,770
4,1.75,2520,15205,1,0,0,4,2040,480
3,2.75,2650,9752,1,0,0,3,2650,0
5,1.75,1890,9600,1,0,0,4,1890,0
3,1,1060,10050,1,0,0,4,1060,0
5,2.75,2190,12687,1,0,0,5,1370,820
3,1.75,1270,6017,1,0,0,4,1030,240
3,2.25,1710,11500,1,0,0,3,1210,500
4,1.5,2150,11026,1,0,0,4,2150,0
2,1,720,5820,1,0,1,5,720,0
4,1.75,2180,10200,1,0,2,3,2000,180
2,1.5,1068,1452,2,0,0,3,1068,0
3,2.25,2440,8378,1,0,0,3,1480,960
4,2.5,2300,10880,1,0,0,4,1190,1110
3,1,1520,10798,1,0,0,3,1520,0
4,1,2020,18150,1,0,0,4,2020,0
4,2.5,2030,11375,1,0,0,3,1330,700
3,2,1610,14046,2,0,0,3,1610,0
2,1,960,112384,1,0,0,3,960,0
4,2.75,2140,13000,1,0,0,3,1320,820
2,1.75,950,15219,1,0,0,3,950,0
3,2.5,2550,6677,2,0,0,3,2550,0
5,3.5,2450,8193,2,0,0,3,2450,0
5,1.75,2100,7347,1,0,0,3,1070,1030
3,3,1970,24318,1,0,0,3,1970,0
3,1,1160,10518,1,0,0,3,1160,0
4,1.75,1910,16785,1,0,0,4,1110,800
3,2,2350,12480,1,0,0,3,1600,750
4,2.25,2200,6900,2,0,0,4,2200,0
3,1.5,2380,14500,1,0,0,4,1850,530
5,2.5,2730,17240,1,0,0,5,1660,1070
3,2.25,1820,15000,1,0,0,3,1480,340
4,2,2990,12970,1.5,0,2,4,1960,1030
3,1.5,1690,9144,1,0,0,4,1140,550
3,2.75,2430,14861,1,0,0,3,1530,900
4,2.5,2070,4270,2,0,0,3,2070,0
4,2.5,3700,4500,2,0,0,3,3700,0
3,3,3530,8345,2,0,0,3,3530,0
3,2.5,2280,4557,2,0,0,3,2280,0
3,2.25,1450,4706,2,0,0,3,1450,0
4,2.5,3050,8000,2,0,0,3,3050,0
4,2.75,3650,4534,2,0,0,3,2940,710
4,2.5,2900,4950,2,0,0,3,2900,0
5,2.75,2620,6389,2,0,0,3,2620,0
4,2.5,2040,5616,2,0,0,3,2040,0
4,2.75,2720,4613,2,0,0,3,2720,0
4,2.5,2890,5801,2,0,0,3,2890,0
3,2.25,1490,4522,2,0,0,3,1490,0
4,2.5,1940,4517,1,0,0,3,1190,750
4,2.5,2470,5954,2,0,0,3,2470,0
3,2.5,1530,1116,2.5,0,0,3,1530,0
4,2.5,2820,5612,2,0,0,3,2820,0
4,2.5,2840,4500,2,0,0,3,2840,0
4,2.75,2630,4501,2,0,0,3,2630,0
4,2.75,2990,4521,2,0,0,3,2990,0
4,3,2290,5105,2,0,0,3,2290,0
4,2.5,2470,7539,2,0,0,3,2470,0
